service_id,date,exception_type
000030,20231118,1
000030,20231120,1
000030,20231121,1
000030,20231122,1
000031,20230909,1
000031,20230916,1
000031,20230923,1
000031,20231007,1
000031,20231014,1
000031,20231111,1
000031,20231118,1
000032,20231021,1
000032,20231028,1
000033,20230902,1
000034,20230828,1
000034,20230829,1
000034,20230830,1
000034,20230831,1
000034,20230925,1
000034,20230926,1
000034,20230927,1
000034,20230928,1
000034,20231023,1
000034,20231024,1
000034,20231025,1
000034,20231026,1
000034,20231120,1
000034,20231121,1
000034,20231122,1
000035,20230824,1
000035,20230825,1
000035,20230901,1
000035,20230904,1
000035,20230905,1
000035,20230906,1
000035,20230907,1
000035,20230908,1
000035,20230911,1
000035,20230912,1
000035,20230913,1
000035,20230914,1
000035,20230915,1
000035,20230918,1
000035,20230919,1
000035,20230920,1
000035,20230921,1
000035,20230922,1
000035,20230929,1
000035,20231002,1
000035,20231003,1
000035,20231004,1
000035,20231005,1
000035,20231006,1
000035,20231009,1
000035,20231010,1
000035,20231011,1
000035,20231012,1
000035,20231013,1
000035,20231016,1
000035,20231017,1
000035,20231018,1
000035,20231019,1
000035,20231020,1
000035,20231027,1
000035,20231030,1
000035,20231031,1
000035,20231102,1
000035,20231103,1
000035,20231106,1
000035,20231107,1
000035,20231108,1
000035,20231109,1
000035,20231110,1
000035,20231113,1
000035,20231114,1
000035,20231115,1
000035,20231116,1
000035,20231117,1
000036,20230827,1
000036,20230903,1
000036,20230909,1
000036,20230910,1
000036,20230916,1
000036,20230917,1
000036,20230923,1
000036,20230924,1
000036,20231001,1
000036,20231007,1
000036,20231008,1
000036,20231014,1
000036,20231015,1
000036,20231022,1
000036,20231029,1
000036,20231105,1
000036,20231111,1
000036,20231112,1
000036,20231118,1
000036,20231119,1
000037,20230827,1
000037,20230903,1
000037,20230909,1
000037,20230910,1
000037,20230916,1
000037,20230917,1
000037,20230923,1
000037,20230924,1
000037,20231001,1
000037,20231007,1
000037,20231008,1
000037,20231014,1
000037,20231015,1
000037,20231022,1
000037,20231029,1
000037,20231101,1
000037,20231105,1
000037,20231111,1
000037,20231112,1
000037,20231118,1
000037,20231119,1
000038,20230904,1
000038,20230905,1
000038,20230906,1
000038,20230907,1
000038,20230911,1
000038,20230912,1
000038,20230913,1
000038,20230914,1
000038,20230918,1
000038,20230919,1
000038,20230920,1
000038,20230921,1
000038,20230925,1
000038,20230926,1
000038,20230927,1
000038,20230928,1
000038,20231002,1
000038,20231003,1
000038,20231004,1
000038,20231005,1
000038,20231009,1
000038,20231010,1
000038,20231011,1
000038,20231012,1
000038,20231016,1
